,indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar
0,01/01/2017,161382.8,30131.5,162332761.4,157700710.1,5751181.8,162332761.4,49271257.0,43332959.2,60836316.4,7969403.2,162332761.4,118421205.2,19304580.4,43365338.2,4446217.5,15982466.5,20580208.4,6358197.5,1303174.5,22173586.3,3405814.3,10032605.7
1,01/02/2017,161382.8,30131.5,162332761.4,157700710.1,5751181.8,162332761.4,49271257.0,43332959.2,60836316.4,7969403.2,162332761.4,118421205.2,19304580.4,43365338.2,4446217.5,15982466.5,20580208.4,6358197.5,1303174.5,22173586.3,3405814.3,10032605.7
2,01/03/2017,161382.8,30131.5,162332761.4,157700710.1,5751181.8,162332761.4,49271257.0,43332959.2,60836316.4,7969403.2,162332761.4,118421205.2,19304580.4,43365338.2,4446217.5,15982466.5,20580208.4,6358197.5,1303174.5,22173586.3,3405814.3,10032605.7
3,01/04/2017,161382.8,30131.5,162332761.4,157700710.1,5751181.8,162332761.4,49271257.0,43332959.2,60836316.4,7969403.2,162332761.4,118421205.2,19304580.4,43365338.2,4446217.5,15982466.5,20580208.4,6358197.5,1303174.5,22173586.3,3405814.3,10032605.7
4,01/05/2017,161382.8,30131.5,162332761.4,157700710.1,5751181.8,162332761.4,49271257.0,43332959.2,60836316.4,7969403.2,162332761.4,118421205.2,19304580.4,43365338.2,4446217.5,15982466.5,20580208.4,6358197.5,1303174.5,22173586.3,3405814.3,10032605.7
5,01/06/2017,161382.8,30131.5,162332761.4,157700710.1,5751181.8,162332761.4,49271257.0,43332959.2,60836316.4,7969403.2,162332761.4,118421205.2,19304580.4,43365338.2,4446217.5,15982466.5,20580208.4,6358197.5,1303174.5,22173586.3,3405814.3,10032605.7
6,01/07/2017,161382.8,30131.5,162332761.4,157700710.1,5751181.8,162332761.4,49271257.0,43332959.2,60836316.4,7969403.2,162332761.4,118421205.2,19304580.4,43365338.2,4446217.5,15982466.5,20580208.4,6358197.5,1303174.5,22173586.3,3405814.3,10032605.7
7,01/08/2017,161382.8,30131.5,162332761.4,157700710.1,5751181.8,162332761.4,49271257.0,43332959.2,60836316.4,7969403.2,162332761.4,118421205.2,19304580.4,43365338.2,4446217.5,15982466.5,20580208.4,6358197.5,1303174.5,22173586.3,3405814.3,10032605.7
8,01/09/2017,161382.8,30131.5,162332761.4,157700710.1,5751181.8,162332761.4,49271257.0,43332959.2,60836316.4,7969403.2,162332761.4,118421205.2,19304580.4,43365338.2,4446217.5,15982466.5,20580208.4,6358197.5,1303174.5,22173586.3,3405814.3,10032605.7
9,01/10/2017,161382.8,30131.5,162332761.4,157700710.1,5751181.8,162332761.4,49271257.0,43332959.2,60836316.4,7969403.2,162332761.4,118421205.2,19304580.4,43365338.2,4446217.5,15982466.5,20580208.4,6358197.5,1303174.5,22173586.3,3405814.3,10032605.7
10,01/11/2017,161382.8,30131.5,162332761.4,157700710.1,5751181.8,162332761.4,49271257.0,43332959.2,60836316.4,7969403.2,162332761.4,118421205.2,19304580.4,43365338.2,4446217.5,15982466.5,20580208.4,6358197.5,1303174.5,22173586.3,3405814.3,10032605.7
11,01/12/2017,161382.8,30131.5,162332761.4,157700710.1,5751181.8,162332761.4,49271257.0,43332959.2,60836316.4,7969403.2,162332761.4,118421205.2,19304580.4,43365338.2,4446217.5,15982466.5,20580208.4,6358197.5,1303174.5,22173586.3,3405814.3,10032605.7
12,01/01/2018,161382.8,30131.5,162332761.4,157700710.1,5751181.8,162332761.4,49271257.0,43332959.2,60836316.4,7969403.2,162332761.4,118421205.2,19304580.4,43365338.2,4446217.5,15982466.5,20580208.4,6358197.5,1303174.5,22173586.3,3405814.3,10032605.7
13,01/02/2018,161382.8,30131.5,162332761.4,157700710.1,5751181.8,162332761.4,49271257.0,43332959.2,60836316.4,7969403.2,162332761.4,118421205.2,19304580.4,43365338.2,4446217.5,15982466.5,20580208.4,6358197.5,1303174.5,22173586.3,3405814.3,10032605.7
14,01/03/2018,161382.8,28846.7,162332761.4,157700710.1,5751181.8,162332761.4,49271257.0,43332959.2,60836316.4,7969403.2,162332761.4,118421205.2,19304580.4,43365338.2,4446217.5,15982466.5,20580208.4,6358197.5,1303174.5,22173586.3,3405814.3,10032605.7
15,01/04/2018,161382.8,30131.5,162332761.4,157700710.1,5751181.8,162332761.4,49271257.0,43332959.2,60836316.4,7969403.2,162332761.4,118421205.2,19304580.4,43365338.2,4446217.5,15982466.5,20580208.4,6358197.5,1303174.5,22173586.3,3405814.3,10032605.7
